orig_result,0_loss_pro,0_loss_neg,0_win_pro,0_win_neg,0_draw_pro,0_draw_neg,0_area_score,1_loss_pro,1_loss_neg,1_win_pro,1_win_neg,1_draw_pro,1_draw_neg,1_area_score,2_loss_pro,2_loss_neg,2_win_pro,2_win_neg,2_draw_pro,2_draw_neg,2_area_score,3_loss_pro,3_loss_neg,3_win_pro,3_win_neg,3_draw_pro,3_draw_neg,3_area_score,4_loss_pro,4_loss_neg,4_win_pro,4_win_neg,4_draw_pro,4_draw_neg,4_area_score,5_loss_pro,5_loss_neg,5_win_pro,5_win_neg,5_draw_pro,5_draw_neg,5_area_score,6_loss_pro,6_loss_neg,6_win_pro,6_win_neg,6_draw_pro,6_draw_neg,6_area_score,7_loss_pro,7_loss_neg,7_win_pro,7_win_neg,7_draw_pro,7_draw_neg,7_area_score,8_loss_pro,8_loss_neg,8_win_pro,8_win_neg,8_draw_pro,8_draw_neg,8_area_score,9_loss_pro,9_loss_neg,9_win_pro,9_win_neg,9_draw_pro,9_draw_neg,9_area_score
1.0,0,5398,3940,391,149,8811,6,0,5398,5417,0,155,8811,6,0,4802,4357,0,172,8953,6,0,4802,5200,0,182,9484,6,0,3840,4150,0,182,9484,6,604,4436,5091,0,171,9631,5,604,4436,4031,0,194,8683,3,604,4436,4248,0,210,9617,5,604,3840,4248,0,256,9617,5,604,3770,4248,0,258,10877,5
0.0,13106,2581,5149,10877,102,3843,-4,8679,2581,5149,9006,102,3843,-4,9988,2581,5149,9006,102,3312,-4,7432,2581,5168,10877,277,3312,1,7318,1589,4027,8573,130,4085,-5,6411,2581,3996,9006,287,4105,1,7141,2581,3996,9006,287,4105,1,6257,2581,3996,9006,287,4105,1,6818,2581,2904,9006,287,4105,-4,6088,2581,2904,9006,287,4105,-4
1.0,1740,5638,6300,835,76,10217,-2,1740,6697,7259,835,76,10217,-2,862,3654,6085,835,92,10393,-2,862,4643,6987,835,95,11194,-2,1740,5823,6129,835,79,9827,-2,862,5823,7123,835,82,9827,-2,862,4764,7123,835,199,10568,-2,862,4864,7123,0,160,8991,1,862,4864,7123,0,160,8991,1,862,6341,7760,0,125,10228,-3
0.0,8000,7000,6151,6587,142,6039,-3,8000,7000,6236,4426,182,6039,-2,10101,7000,6236,5169,205,6039,-2,8455,7000,6236,2412,205,4895,-2,3971,2817,4013,3457,143,4605,-1,7221,5234,7297,2412,205,6651,-4,7221,5234,5363,2412,205,6651,-4,8867,4447,8206,2702,205,5385,-4,7221,5216,6272,2412,383,7392,-4,8748,3406,8206,1893,211,5385,-4
0.0,37739,0,805,36972,31,9096,-38,26709,0,1737,32151,48,9096,-38,25608,0,805,31233,42,7271,-35,17541,0,1737,27740,59,7907,-35,18146,0,1737,29383,75,7907,-35,11944,0,1737,20137,75,7219,-35,11944,0,1737,20137,76,7219,-36,9060,0,805,12564,111,7219,-35,9060,0,805,12564,112,7219,-36,7259,960,2529,9447,102,6583,-36
1.0,1281,20645,21347,6004,101,4976,3,1281,21469,21347,3015,101,5868,3,1281,16359,19037,6004,153,6015,-2,1281,17183,19037,3015,153,5868,-2,1281,14614,16806,3015,153,6804,-2,1281,9262,17743,2288,166,5868,1,1281,7180,16635,2288,166,4664,-2,1281,7180,17522,2288,166,4218,-2,1281,6201,15586,1745,176,5297,-5,1281,7116,16215,1745,176,4665,0
0.0,24812,0,1003,24390,297,9515,-30,19570,0,1003,18223,297,8873,-30,20294,0,0,17081,304,7167,-29,15407,790,1003,19143,297,10668,-23,16246,790,1003,19143,323,11232,-24,12547,1554,1058,14129,321,12042,-22,13354,1554,1058,14129,321,12276,-22,9195,1554,1058,9741,321,11371,-21,9195,764,1058,10676,321,12153,-28,6938,764,0,8916,304,9650,-28
0.0,27687,2042,885,29937,108,8859,-11,19904,2042,885,19466,108,8497,-8,21148,1051,885,19466,108,7806,-10,13493,2691,885,16617,153,7818,-8,14745,2691,885,17154,153,7818,-8,10691,2691,0,15286,153,7818,-7,10691,1640,0,15286,153,7818,-7,7150,1640,0,12327,172,7818,-10,7150,649,0,12327,172,7818,-13,6060,1353,0,9010,172,7818,-13
0.0,13505,2955,3399,8098,365,1852,0,8741,3847,4523,5279,365,1131,0,7931,2955,3399,5130,383,2454,0,5043,3667,3531,4170,383,3165,-3,4614,2716,3399,5130,410,3146,-2,4210,2786,4523,1619,403,2545,-2,2448,2493,782,4170,430,3146,-4,3280,2070,4523,858,405,1893,-5,3280,2070,3367,858,445,2829,-5,1640,2070,4158,858,448,2829,-4
0.0,3822,1717,9088,1690,233,5577,-14,3822,1717,9980,889,233,5577,-10,3822,1717,7852,889,233,5577,-10,3822,1717,8862,889,233,5577,-10,3822,506,6979,889,250,5577,-7,3822,506,7989,889,250,5577,-7,3822,506,6810,889,39,5577,-7,3822,506,6810,0,41,5577,-6,3822,506,5689,0,52,5577,-6,1826,506,5749,0,41,5378,-6
