orig_result,0_loss_pro,0_loss_neg,0_win_pro,0_win_neg,0_draw_pro,0_draw_neg,0_area_score,1_loss_pro,1_loss_neg,1_win_pro,1_win_neg,1_draw_pro,1_draw_neg,1_area_score,2_loss_pro,2_loss_neg,2_win_pro,2_win_neg,2_draw_pro,2_draw_neg,2_area_score,3_loss_pro,3_loss_neg,3_win_pro,3_win_neg,3_draw_pro,3_draw_neg,3_area_score,4_loss_pro,4_loss_neg,4_win_pro,4_win_neg,4_draw_pro,4_draw_neg,4_area_score,5_loss_pro,5_loss_neg,5_win_pro,5_win_neg,5_draw_pro,5_draw_neg,5_area_score,6_loss_pro,6_loss_neg,6_win_pro,6_win_neg,6_draw_pro,6_draw_neg,6_area_score,7_loss_pro,7_loss_neg,7_win_pro,7_win_neg,7_draw_pro,7_draw_neg,7_area_score,8_loss_pro,8_loss_neg,8_win_pro,8_win_neg,8_draw_pro,8_draw_neg,8_area_score,9_loss_pro,9_loss_neg,9_win_pro,9_win_neg,9_draw_pro,9_draw_neg,9_area_score
0.0,11834,5603,3603,16837,516,8420,-4,7083,5603,3603,12819,631,6602,-4,5402,3624,2764,11416,525,6639,-11,4863,5204,4525,10152,525,7460,-4,5311,4563,1728,7960,640,6602,-11,4953,3951,3581,2400,642,8315,-11,4157,4326,3534,7040,689,6602,-11,3799,3653,4548,1480,642,7494,-12,3481,2852,5696,2710,710,9026,-10,3481,2852,5696,2710,710,9026,-10
0.0,3179,0,1777,6674,91,7780,-20,1259,0,1777,4461,91,7199,-14,2151,0,1777,4461,91,9742,-16,892,0,1777,5423,95,8304,-16,892,0,1777,5423,108,8304,-17,681,0,1777,6112,108,5761,-19,681,0,1777,6112,114,5761,-19,0,0,1777,5150,154,5761,-61,0,0,1777,5150,163,6399,-57,0,0,1777,5150,163,6399,-57
0.0,19862,649,885,25198,355,10933,-24,15981,1295,885,20001,367,9962,-24,15515,649,885,18876,355,10072,-29,11460,646,885,15841,367,9527,-27,12356,1295,885,15088,367,9638,-29,9702,2297,885,12895,367,9638,-29,10546,2297,885,12019,372,9638,-29,8152,2297,885,11202,372,8554,-29,6532,1648,885,11307,391,7908,-30,6532,1648,885,11307,391,7908,-30
0.0,3094,6526,11343,2071,120,7372,-5,3094,7488,12332,998,143,8953,-5,3906,7488,10291,998,221,8953,-5,3294,7488,10291,0,411,10192,-5,3294,6361,8977,0,411,9372,-5,1334,5553,9093,0,355,10113,-34,1334,5553,9093,0,355,10844,-34,1334,5553,9093,0,373,10844,-34,1334,5553,9093,0,541,10844,-34,1334,5553,9093,0,541,10844,-34
0.0,22597,2184,2525,23784,25,5420,-14,17259,3196,2525,17767,25,5995,-8,17263,2184,2525,16058,51,7002,-10,11731,3196,2525,12374,51,7577,-4,10662,1364,2525,11753,120,5420,-14,9232,3196,2525,8506,68,7577,-3,8426,1364,1775,7717,120,7577,-12,4545,820,4302,7780,51,7656,-7,2275,1012,3592,4146,103,5956,-10,2275,1012,3592,4146,103,5956,-10
0.0,60187,0,951,60205,192,12375,-38,46695,0,951,44951,192,9041,-25,48419,0,951,44951,192,9041,-26,37976,944,951,38762,192,10861,-25,39695,944,951,38762,192,11622,-25,28965,944,1813,29714,198,8170,-23,29990,944,951,28974,198,9159,-24,22992,944,951,23687,214,9103,-24,17614,944,951,16655,214,9103,-25,17614,944,951,16655,214,9103,-25
0.0,16350,3226,2560,14987,59,9149,-25,11784,3226,2560,14133,59,9149,-25,13345,3226,2560,11404,92,9149,-26,7885,2470,2560,9684,102,8390,-26,9138,2470,2560,9684,102,8390,-26,6863,3361,2560,7977,112,8390,-26,6863,2170,2560,7977,112,7815,-26,4968,2170,2560,7977,121,7815,-26,5263,3361,2560,7837,203,8887,-26,5263,3361,2560,7837,203,8887,-26
0.0,18294,1460,2712,9107,293,8840,-25,14202,1460,2712,6196,293,8840,-25,15049,1460,2712,6196,293,8699,-25,11092,1460,2712,3724,293,7801,-25,11092,1460,2712,3724,293,8632,-25,7065,673,2712,3724,300,8773,-25,7065,673,1904,3724,324,8546,-29,7104,2425,1904,2556,340,7300,-29,5254,2425,950,3327,413,9552,-8,5254,2425,950,3327,413,9552,-8
0.0,6328,5916,6033,7130,189,8525,7,5015,4908,6033,2769,189,7545,4,5015,3048,4719,2769,189,8929,-5,5015,3048,5589,1728,189,8929,-4,5924,3985,4233,1728,191,7698,-5,5032,3125,6386,1728,219,7461,-5,5015,2188,5183,2119,189,8050,-3,5032,1372,7298,1728,314,7461,-5,3951,551,8168,1728,302,8107,-4,3951,551,8168,1728,302,8107,-4
0.0,51012,0,781,54262,167,16808,-36,38375,0,781,40495,176,15676,-20,40273,0,781,40900,176,15676,-23,29275,0,781,32698,176,14384,-20,28307,0,781,33975,167,13739,-22,21659,0,781,25071,176,12607,-21,22625,0,781,25990,176,13338,-21,18068,0,781,21653,176,13338,-20,14535,0,0,16696,182,10762,-25,14535,0,0,16696,182,10762,-25
